Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
GPS,1740,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8076138757,18:56:50:268 26 10 2015 -0400 EDT,-72.2636283331,1445900210000,Location,-1,000000
GPS,1746,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8074468928,18:56:55:051 26 10 2015 -0400 EDT,-72.2629752081,1445900215000,Location,-1,000000
GPS,1898,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8072380925,18:57:26:022 26 10 2015 -0400 EDT,-72.2621585253,1445900246000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089415179,18:58:49:842 26 10 2015 -0400 EDT,-72.2688130015,1445900330000,Location,-1,000000
GPS,11000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8071592882,19:02:31:110 26 10 2015 -0400 EDT,-72.2619971278,1445900551000,Location,-1,000000
GPS,3750,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8106954648,19:15:14:138 26 10 2015 -0400 EDT,-72.2654851562,1445901325000,Location,-1,000000
GPS,20,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089411267,19:14:44:191 26 10 2015 -0400 EDT,-72.2688138175,1445901325000,Location,-1,000000
GPS,3750,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8129875596,19:15:14:220 26 10 2015 -0400 EDT,-72.2678151693,1445901326000,Location,-1,000000
GPS,3750,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8144544982,19:15:14:242 26 10 2015 -0400 EDT,-72.2693063754,1445901326000,Location,-1,000000
GPS,165,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8090002750,19:15:14:404 26 10 2015 -0400 EDT,-72.2687602122,1445901326000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089413065,19:15:53:589 26 10 2015 -0400 EDT,-72.2688139792,1445901354000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8162107215,19:18:04:405 26 10 2015 -0400 EDT,-72.2716277473,1445901485000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8168494638,19:18:04:484 26 10 2015 -0400 EDT,-72.2718749849,1445901485000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089412068,19:20:54:017 26 10 2015 -0400 EDT,-72.2688139232,1445901654000,Location,-1,000000
GPS,6500,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8140437168,19:23:12:207 26 10 2015 -0400 EDT,-72.2707886225,1445901792000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089403552,19:26:00:887 26 10 2015 -0400 EDT,-72.2688147584,1445901961000,Location,-1,000000
GPS,6500,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8140436404,19:28:12:265 26 10 2015 -0400 EDT,-72.2707886974,1445902092000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089408190,19:31:07:761 26 10 2015 -0400 EDT,-72.2688142367,1445902268000,Location,-1,000000
GPS,5000,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8150272450,19:37:59:680 26 10 2015 -0400 EDT,-72.2711697381,1445902691000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089411061,19:37:59:680 26 10 2015 -0400 EDT,-72.2688142145,1445902691000,Location,-1,000000
GPS,5000,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8150272450,19:37:59:681 26 10 2015 -0400 EDT,-72.2711697381,1445902691000,Location,-1,000000
GPS,5000,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8160448115,19:37:59:877 26 10 2015 -0400 EDT,-72.2715635678,1445902691000,Location,-1,000000
GPS,5000,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8165535947,19:37:59:920 26 10 2015 -0400 EDT,-72.2717604826,1445902692000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089411061,19:38:00:217 26 10 2015 -0400 EDT,-72.2688142145,1445902692000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8090107618,19:47:29:000 26 10 2015 -0400 EDT,-72.2690454126,1445903249000,Location,0,000000
GPS,30,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089729175,19:56:05:000 26 10 2015 -0400 EDT,-72.2690784373,1445904345000,Location,0,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8152998239,20:05:33:727 26 10 2015 -0400 EDT,-72.2713301217,1445904345000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8161811009,20:05:33:750 26 10 2015 -0400 EDT,-72.2716437596,1445904345000,Location,-1,000000
GPS,20,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089408876,20:04:51:975 26 10 2015 -0400 EDT,-72.2688140864,1445904345000,Location,-1,000000
