Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
GPS,9191,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8074991756,03:03:54:510 05 10 2015 -0400 EDT,-72.2632039917,1444028635000,Location,-1,000000
GPS,165,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089404232,03:04:45:480 05 10 2015 -0400 EDT,-72.2689160057,1444028686000,Location,-1,000000
GPS,30,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088061596,06:19:47:000 05 10 2015 -0400 EDT,-72.2690206860,1444040759000,Location,0,000000
GPS,6965,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8077736145,06:25:48:777 05 10 2015 -0400 EDT,-72.2646677198,1444040760000,Location,-1,000000
GPS,6965,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8071863343,06:25:48:800 05 10 2015 -0400 EDT,-72.2621918848,1444040760000,Location,-1,000000
GPS,20,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347642,06:24:00:079 05 10 2015 -0400 EDT,-72.2688504894,1444040760000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089346446,06:25:49:281 05 10 2015 -0400 EDT,-72.2688492770,1444040760000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8087647530,06:35:22:999 05 10 2015 -0400 EDT,-72.2689558939,1444041323000,Location,0,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8087647530,06:39:22:984 05 10 2015 -0400 EDT,-72.2689558939,1444041573000,Location,0,000000
GPS,8270,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8075605005,06:55:49:537 05 10 2015 -0400 EDT,-72.2637995092,1444042550000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347118,06:55:55:978 05 10 2015 -0400 EDT,-72.2688499713,1444042556000,Location,-1,000000
GPS,8308,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8076254006,07:00:49:589 05 10 2015 -0400 EDT,-72.2637000624,1444042850000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089348336,07:00:56:035 05 10 2015 -0400 EDT,-72.2688513061,1444042856000,Location,-1,000000
GPS,9809,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8153861326,07:04:24:506 05 10 2015 -0400 EDT,-72.2713168390,1444043065000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8167166660,07:04:24:545 05 10 2015 -0400 EDT,-72.2718252875,1444043065000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089076644,07:16:53:000 05 10 2015 -0400 EDT,-72.2689472605,1444043813000,Location,0,000000
GPS,8044,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8147807984,07:23:10:660 05 10 2015 -0400 EDT,-72.2711303435,1444044191000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8164265849,07:23:10:698 05 10 2015 -0400 EDT,-72.2717269277,1444044191000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089349246,07:23:17:129 05 10 2015 -0400 EDT,-72.2688509264,1444044197000,Location,-1,000000
GPS,5307,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8081641658,07:24:38:000 05 10 2015 -0400 EDT,-72.2658175117,1444044278000,Location,-1,000000
GPS,5307,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8076285094,07:24:38:039 05 10 2015 -0400 EDT,-72.2637111293,1444044278000,Location,-1,000000
GPS,5307,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8072565851,07:24:38:077 05 10 2015 -0400 EDT,-72.2622485967,1444044278000,Location,-1,000000
GPS,8000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8142354028,07:25:08:721 05 10 2015 -0400 EDT,-72.2689449567,1444044309000,Location,-1,000000
